packet_size,write_freq,num_packets,direction,speed_total_bps,speed_valid_bps,send_rate_bps,latency_avg_ms,latency_min_ms,latency_max_ms,packet_loss_percent,corruption_percent,elapsed_time,packets_sent,packets_received,packets_corrupt,timestamp
500,0.01,10,Sender → Receiver,52659.762426768655,52659.762426768655,131649.40606692163,173.44003915786743,131.98304176330566,214.5845890045166,60.0,0.0,0.30383729934692383,10,4,0,1762495036.4282398
500,0.01,10,Sender → Receiver,52919.337452242864,52919.337452242864,132298.34363060715,175.16952753067017,132.7972412109375,215.3491973876953,60.0,0.0,0.30234694480895996,10,4,0,1762495038.592455
500,0.05,10,Sender → Receiver,63779.20673328226,63779.20673328226,79724.00841660284,129.35596704483032,120.31173706054688,137.2056007385254,20.0,0.0,0.5017309188842773,10,8,0,1762495040.954623
500,0.05,10,Sender → Receiver,63702.31879985875,63702.31879985875,79627.89849982344,125.57506561279297,116.84155464172363,132.1854591369629,20.0,0.0,0.5023365020751953,10,8,0,1762495043.3105006
500,0.1,10,Sender → Receiver,39907.9918191692,39907.9918191692,39907.9918191692,83.62574577331543,82.61799812316895,84.57565307617188,0.0,0.0,1.002305507659912,10,10,0,1762495045.6544838
500,0.1,10,Sender → Receiver,39912.957234424764,39912.957234424764,39912.957234424764,96.5254545211792,93.28031539916992,98.0525016784668,0.0,0.0,1.002180814743042,10,10,0,1762495048.0048578
500,0.2,10,Sender → Receiver,21006.356416321916,21006.356416321916,21006.356416321916,84.74631309509277,83.69135856628418,85.87455749511719,0.0,0.0,1.9041855335235596,10,10,0,1762495051.2615497
500,0.2,10,Sender → Receiver,21000.340342076957,21000.340342076957,21000.340342076957,94.99096870422363,93.7495231628418,96.40812873840332,0.0,0.0,1.904731035232544,10,10,0,1762495054.5056064
500,0.35,10,Sender → Receiver,11225.80063827133,11225.80063827133,12473.111820301478,88.63361676534016,77.55589485168457,96.98605537414551,10.0,0.0,3.2068982124328613,10,9,0,1762495059.5593889
500,0.35,10,Sender → Receiver,11228.678201260198,11228.678201260198,12476.30911251133,89.38786718580458,78.42874526977539,97.5334644317627,10.0,0.0,3.2060763835906982,10,9,0,1762495064.6185007
500,0.5,10,Sender → Receiver,8679.065512004214,8679.065512004214,8679.065512004214,93.878173828125,91.80259704589844,96.40049934387207,0.0,0.0,4.60879111289978,10,10,0,1762495070.570129
500,0.5,10,Sender → Receiver,8680.910309815563,8680.910309815563,8680.910309815563,80.20663261413574,77.63218879699707,82.7169418334961,0.0,0.0,4.607811689376831,10,10,0,1762495076.5266416
500,0.8,10,Sender → Receiver,5468.8699416986265,5468.8699416986265,5468.8699416986265,81.46252632141113,78.28974723815918,83.9087963104248,0.0,0.0,7.314125299453735,10,10,0,1762495085.183126
500,0.8,10,Sender → Receiver,5470.93239766387,5470.93239766387,5470.93239766387,81.4556360244751,78.0935287475586,85.30879020690918,0.0,0.0,7.311367988586426,10,10,0,1762495093.8433044
500,1.0,10,Sender → Receiver,4387.214080660365,4387.214080660365,4387.214080660365,83.21869373321533,78.69434356689453,96.91691398620605,0.0,0.0,9.117403268814087,10,10,0,1762495104.3090281
500,1.0,10,Sender → Receiver,4384.326864358926,4384.326864358926,4384.326864358926,88.32309246063232,77.4378776550293,96.98748588562012,0.0,0.0,9.123407363891602,10,10,0,1762495114.7786744
600,0.01,10,Sender → Receiver,63774.31751804008,63774.31751804008,159435.79379510018,167.1518087387085,131.50453567504883,203.17411422729492,60.0,0.0,0.30106163024902344,10,4,0,1762495116.929639
600,0.01,10,Sender → Receiver,63653.53779028408,63653.53779028408,159133.8444757102,153.5412073135376,119.46678161621094,187.28995323181152,60.0,0.0,0.3016328811645508,10,4,0,1762495119.0807083
600,0.05,10,Sender → Receiver,67046.79782144529,67046.79782144529,95781.13974492185,143.82672309875488,124.25756454467773,169.88301277160645,30.0,0.0,0.5011425018310547,10,7,0,1762495121.4435854
600,0.05,10,Sender → Receiver,67034.77461339158,67034.77461339158,95763.96373341655,144.64739390781946,122.75338172912598,175.45413970947266,30.0,0.0,0.501232385635376,10,7,0,1762495123.7922378
600,0.1,10,Sender → Receiver,47893.11041674348,47893.11041674348,47893.11041674348,90.90497493743896,89.99848365783691,92.06485748291016,0.0,0.0,1.0022318363189697,10,10,0,1762495126.1389737
600,0.1,10,Sender → Receiver,43061.492491910845,43061.492491910845,47846.10276878983,106.39293988545735,105.61275482177734,106.90879821777344,10.0,0.0,1.0032165050506592,10,9,0,1762495128.9797237
600,0.2,10,Sender → Receiver,22692.777694005952,22692.777694005952,25214.19743778439,104.5947339799669,103.16014289855957,105.93891143798828,10.0,0.0,1.9036893844604492,10,9,0,1762495132.730266
600,0.2,10,Sender → Receiver,25203.0394381103,25203.0394381103,25203.0394381103,97.43409156799316,96.19402885437012,99.2276668548584,0.0,0.0,1.9045321941375732,10,10,0,1762495135.972041
600,0.35,10,Sender → Receiver,13466.904887245455,13466.904887245455,14963.22765249495,96.41006257798936,87.54754066467285,107.12504386901855,10.0,0.0,3.2078640460968018,10,9,0,1762495141.0258195
600,0.35,10,Sender → Receiver,13476.685802416245,13476.685802416245,14974.09533601805,99.06127717759874,93.31440925598145,105.49211502075195,10.0,0.0,3.205535888671875,10,9,0,1762495146.0791705
600,0.5,10,Sender → Receiver,10413.664896215389,10413.664896215389,10413.664896215389,97.80230522155762,94.54655647277832,100.20709037780762,0.0,0.0,4.609328269958496,10,10,0,1762495152.0354936
600,0.5,10,Sender → Receiver,9375.73872894463,9375.73872894463,10417.487476605145,101.22015741136339,86.93861961364746,106.79244995117188,10.0,0.0,4.60763692855835,10,9,0,1762495158.4902387
600,0.8,10,Sender → Receiver,6563.456508434362,6563.456508434362,6563.456508434362,101.05302333831787,88.30761909484863,106.68206214904785,0.0,0.0,7.313219785690308,10,10,0,1762495167.1515646
600,0.8,10,Sender → Receiver,5908.548416697308,5908.548416697308,6565.053796330342,90.0014771355523,87.80813217163086,92.44418144226074,10.0,0.0,7.311440467834473,10,9,0,1762495176.308014
600,1.0,10,Sender → Receiver,5265.242334311071,5265.242334311071,5265.242334311071,93.25635433197021,88.09208869934082,106.85443878173828,0.0,0.0,9.116389513015747,10,10,0,1762495186.770934
600,1.0,10,Sender → Receiver,5266.128724067839,5266.128724067839,5266.128724067839,97.33579158782959,87.71109580993652,107.3446273803711,0.0,0.0,9.11485505104065,10,10,0,1762495197.2271078
700,0.01,10,Sender → Receiver,55749.14040531167,55749.14040531167,139372.85101327917,177.3110032081604,123.76809120178223,224.38383102416992,60.0,0.0,0.40179991722106934,10,4,0,1762495199.4766874
700,0.01,10,Sender → Receiver,55832.82648291928,55832.82648291928,139582.0662072982,179.56912517547607,127.02488899230957,226.29380226135254,60.0,0.0,0.4011976718902588,10,4,0,1762495201.7286773
700,0.05,10,Sender → Receiver,66894.80063795853,66894.80063795853,111491.33439659755,166.09636942545572,118.36528778076172,213.34290504455566,40.0,0.0,0.5022811889648438,10,6,0,1762495204.078779
700,0.05,10,Sender → Receiver,66881.34005079862,66881.34005079862,111468.90008466436,178.48408222198486,129.96959686279297,225.236177444458,40.0,0.0,0.5023822784423828,10,6,0,1762495206.4335642
700,0.1,10,Sender → Receiver,55857.370272726796,55857.370272726796,55857.370272726796,98.38204383850098,97.32913970947266,99.23386573791504,0.0,0.0,1.0025534629821777,10,10,0,1762495208.7830064
700,0.1,10,Sender → Receiver,50229.16853685897,50229.16853685897,55810.18726317663,103.93802324930827,103.13701629638672,104.31718826293945,10.0,0.0,1.0034010410308838,10,9,0,1762495211.634885
700,0.2,10,Sender → Receiver,26470.392062924006,26470.392062924006,29411.54673658223,111.99961768256293,111.1900806427002,112.92219161987305,10.0,0.0,1.9040141105651855,10,9,0,1762495215.3885098
700,0.2,10,Sender → Receiver,29421.29487203897,29421.29487203897,29421.29487203897,99.74186420440674,98.83284568786621,100.3580093383789,0.0,0.0,1.9033832550048828,10,10,0,1762495218.6534822
700,0.35,10,Sender → Receiver,15715.065877992736,15715.065877992736,17461.18430888082,109.34117105272081,103.52206230163574,115.19646644592285,10.0,0.0,3.20711350440979,10,9,0,1762495223.7066562
700,0.35,10,Sender → Receiver,15720.808838156885,15720.808838156885,17467.56537572987,108.05956522623698,96.34709358215332,116.38092994689941,10.0,0.0,3.205941915512085,10,9,0,1762495228.7571785
700,0.5,10,Sender → Receiver,10935.921250039382,10935.921250039382,12151.023611154867,111.34574148390028,109.0846061706543,113.99626731872559,10.0,0.0,4.608665227890015,10,9,0,1762495235.2133539
700,0.5,10,Sender → Receiver,10932.695761023335,10932.695761023335,12147.439734470372,113.45124244689941,111.63854598999023,115.63420295715332,10.0,0.0,4.610024929046631,10,9,0,1762495241.6711493
700,0.8,10,Sender → Receiver,6892.039613535989,6892.039613535989,7657.8217928177655,109.05869801839192,97.33819961547852,116.0125732421875,10.0,0.0,7.312784433364868,10,9,0,1762495250.8299003
700,0.8,10,Sender → Receiver,7658.1451263037425,7658.1451263037425,7658.1451263037425,99.64075088500977,97.45192527770996,101.32002830505371,0.0,0.0,7.312475681304932,10,10,0,1762495259.488104
