packet_size,write_freq,num_packets,direction,speed_total_bps,speed_valid_bps,send_rate_bps,latency_avg_ms,latency_min_ms,latency_max_ms,packet_loss_percent,corruption_percent,elapsed_time,packets_sent,packets_received,packets_corrupt,timestamp
128,0.05,10,Sender → Receiver,17013.11345119675,17013.11345119675,17013.11345119675,50.61907768249512,41.04042053222656,59.36574935913086,0.0,0.0,0.6018886566162109,10,10,0,1762419641.3744614
128,0.05,10,Sender → Receiver,16932.15847832549,16932.15847832549,16932.15847832549,50.489020347595215,41.552066802978516,60.52207946777344,0.0,0.0,0.6047663688659668,10,10,0,1762419643.3202217
128,0.1,10,Sender → Receiver,9170.152560426677,9170.152560426677,10189.058400474085,48.1164190504286,41.21851921081543,55.761098861694336,10.0,0.0,1.0049996376037598,10,9,0,1762419646.1784868
128,0.1,10,Sender → Receiver,10213.209920990292,10213.209920990292,10213.209920990292,49.81276988983154,39.447784423828125,60.18781661987305,0.0,0.0,1.0026230812072754,10,10,0,1762419650.5138276
128,0.15,10,Sender → Receiver,6801.698641756159,6801.698641756159,6801.698641756159,50.48959255218506,41.510820388793945,59.63563919067383,0.0,0.0,1.5055062770843506,10,10,0,1762419655.3765657
128,0.15,10,Sender → Receiver,6811.736284357502,6811.736284357502,6811.736284357502,51.70252323150635,42.77610778808594,60.41669845581055,0.0,0.0,1.5032877922058105,10,10,0,1762419660.2177272
128,0.2,10,Sender → Receiver,4842.608775242235,4842.608775242235,5380.6764169358175,50.399462381998696,43.24984550476074,57.66892433166504,10.0,0.0,1.903106451034546,10,9,0,1762419663.9680605
128,0.2,10,Sender → Receiver,5378.900792276166,5378.900792276166,5378.900792276166,51.134634017944336,40.853023529052734,59.56888198852539,0.0,0.0,1.9037346839904785,10,10,0,1762419669.1998317
128,0.25,10,Sender → Receiver,4260.546764742323,4260.546764742323,4260.546764742323,47.788262367248535,41.53609275817871,57.33942985534668,0.0,0.0,2.403447389602661,10,10,0,1762419674.9349978
128,0.25,10,Sender → Receiver,4260.076840667251,4260.076840667251,4260.076840667251,49.56197738647461,43.77627372741699,59.500932693481445,0.0,0.0,2.403712511062622,10,10,0,1762419680.6730266
128,0.3,10,Sender → Receiver,3286.614865832311,3286.614865832311,3651.7942953692345,51.01198620266385,40.22645950317383,59.63945388793945,10.0,0.0,2.80410099029541,10,9,0,1762419685.31825
128,0.3,10,Sender → Receiver,3286.3860168842716,3286.3860168842716,3651.540018760302,50.587521659003365,43.436288833618164,58.37655067443848,10.0,0.0,2.8042962551116943,10,9,0,1762419689.9659336
128,0.4,10,Sender → Receiver,2487.246493505892,2487.246493505892,2763.6072150065465,52.126169204711914,43.56527328491211,60.10770797729492,10.0,0.0,3.7053022384643555,10,9,0,1762419695.5129755
128,0.4,10,Sender → Receiver,2487.436798579148,2487.436798579148,2763.8186650879425,49.72404903835721,42.76156425476074,56.603193283081055,10.0,0.0,3.7050187587738037,10,9,0,1762419701.0605626
128,0.5,10,Sender → Receiver,1999.4491018781775,1999.4491018781775,2221.610113197975,48.65203963385688,40.92597961425781,59.47613716125488,10.0,0.0,4.609269618988037,10,9,0,1762419707.5708063
128,0.5,10,Sender → Receiver,2000.691366357095,2000.691366357095,2222.990407063439,50.43323834737142,41.17107391357422,59.4480037689209,10.0,0.0,4.606407642364502,10,9,0,1762419714.0147567
